iter	MultiClass
0	1.090656477
1	1.082766144
2	1.076314327
3	1.069922191
4	1.063446778
5	1.056756004
6	1.050423858
7	1.045054186
8	1.040168832
9	1.035537744
10	1.031355443
11	1.027237432
12	1.024449583
13	1.020381456
14	1.016525838
15	1.01283938
16	1.009615017
17	1.006134172
18	1.002815197
19	1.000130678
20	0.9979019214
21	0.9947856242
22	0.9932646513
23	0.9910056849
24	0.9887614497
25	0.9865930423
26	0.9840903459
27	0.9823577563
28	0.9790227119
29	0.9766223608
30	0.9744706391
31	0.9715011979
32	0.9700136652
33	0.9683290614
34	0.9663523491
35	0.9637631325
36	0.9624603565
37	0.9612696556
38	0.9593656518
39	0.9574359756
40	0.9553886995
41	0.954123269
42	0.952461509
43	0.9507398549
44	0.9497009863
45	0.9483738627
46	0.9471444089
47	0.9458180196
48	0.9444451945
49	0.942451506
50	0.9414545782
51	0.9408613483
52	0.9394840104
53	0.93818068
54	0.9371221605
55	0.9354469016
56	0.9339509152
57	0.9330427078
58	0.9317648623
59	0.9307890156
60	0.9298022215
61	0.9284019399
62	0.9271521246
63	0.9263424679
64	0.9243617087
65	0.9234041087
66	0.9222801704
67	0.9206345975
68	0.9189245433
69	0.9180080792
70	0.9166248815
71	0.9154090917
72	0.9143101169
73	0.9133050461
74	0.9120829693
75	0.9107056758
76	0.9095606784
77	0.9081561136
78	0.9062816215
79	0.905048434
80	0.9035216504
81	0.9023578579
82	0.9009612427
83	0.8997594735
84	0.898576058
85	0.8972881202
86	0.8959696487
87	0.8946008195
88	0.8934603082
89	0.8922287308
90	0.8907264211
91	0.8894283247
92	0.8877883097
93	0.8868506987
94	0.8859051255
95	0.8850985554
96	0.883282324
97	0.88250306
98	0.8815744001
99	0.8806430809
100	0.8790434415
101	0.8783342553
102	0.8768311481
103	0.8754654608
104	0.8743945977
105	0.8725665742
106	0.8714869226
107	0.8700805156
108	0.8691372282
109	0.8682359789
110	0.8667857696
111	0.8653303539
112	0.864660554
113	0.8633884134
114	0.8624933704
115	0.8615020013
116	0.8605883827
117	0.8592459898
118	0.8577570213
119	0.8566582017
120	0.8556094793
121	0.8542255209
122	0.8528811007
123	0.8517483349
124	0.8499900627
125	0.848836252
126	0.8481063914
127	0.8477379302
128	0.8471670415
129	0.8458793921
130	0.8447701393
131	0.842996739
132	0.8412297957
133	0.8400481958
134	0.839096472
135	0.8375247831
136	0.8369763316
137	0.8349380563
138	0.8333936013
139	0.831584171
140	0.8307758286
141	0.8295289944
142	0.8287050207
143	0.8275199972
144	0.826125599
145	0.825302092
146	0.8246027512
147	0.8237699882
148	0.8227373972
149	0.8219932865
150	0.8207011817
151	0.8198870293
152	0.8186882448
153	0.8178806383
154	0.8161802935
155	0.8152503983
156	0.814040154
157	0.8126523218
158	0.8108501893
159	0.809527654
160	0.8077592344
161	0.8072653633
162	0.8060917529
163	0.8050954863
164	0.8043422094
165	0.8029326916
166	0.8017433251
167	0.8011887123
168	0.7994412789
169	0.7986808028
170	0.7970311876
171	0.7962456128
172	0.7951677741
173	0.7940209512
174	0.7930300864
175	0.7920958775
176	0.7907908007
177	0.7893500834
178	0.7876433274
179	0.7868773315
180	0.7856468013
181	0.7843940177
182	0.7832522265
183	0.7817526439
184	0.7810743857
185	0.7801934166
186	0.7792491182
187	0.7782146445
188	0.7770825323
189	0.7760210446
190	0.7749551475
191	0.7739026373
192	0.7726439672
193	0.7719126219
194	0.7711790651
195	0.7701826671
196	0.7692507054
197	0.7683647595
198	0.7672006031
199	0.7661818985
200	0.7648440561
201	0.7636438325
202	0.762366136
203	0.761490647
204	0.760900921
205	0.759592649
206	0.7585542436
207	0.7577605311
208	0.7564748911
209	0.7554442164
210	0.7538311713
211	0.7524688784
212	0.7510129674
213	0.7502693146
214	0.749271718
215	0.7489168561
216	0.7478966349
217	0.7467198353
218	0.7450070239
219	0.743655749
220	0.7428707049
221	0.7421176328
222	0.7410806154
223	0.7403827094
224	0.7393302802
225	0.737994621
226	0.7369318577
227	0.7358521925
228	0.734131809
229	0.7332210996
230	0.7322625074
231	0.7313609286
232	0.7301294237
233	0.7296351533
234	0.7286967642
235	0.7278425283
236	0.7269179738
237	0.7256291492
238	0.725063114
239	0.7237763883
240	0.7230323628
241	0.7221225319
242	0.7209660931
243	0.720145616
244	0.7187840156
245	0.7174772953
246	0.7168092015
247	0.7160461427
248	0.7148795185
249	0.7142874128
250	0.7130555965
251	0.7124211039
252	0.7113598276
253	0.7105343589
254	0.709540501
255	0.7088750979
256	0.7073530696
257	0.7069994492
258	0.705936154
259	0.7050875266
260	0.7040714163
261	0.7033377303
262	0.702871042
263	0.7024918767
264	0.7015822119
265	0.7009220113
266	0.7002112286
267	0.699809321
268	0.6991829345
269	0.6986084692
270	0.6978294262
271	0.6973412955
272	0.6964275287
273	0.6958123937
274	0.6943190844
275	0.6937436726
276	0.6932870499
277	0.6927276956
278	0.6920535336
279	0.6907608966
280	0.6899925745
281	0.6890221948
282	0.6886283942
283	0.6873888959
284	0.6866973511
285	0.6861737626
286	0.68526296
287	0.6845040584
288	0.68331394
289	0.6824228442
290	0.6816605451
291	0.6804666631
292	0.6800692176
293	0.6791057759
294	0.6781613553
295	0.6768556018
296	0.6762635221
297	0.6754784578
298	0.6745907148
299	0.6736928776
